Class,ACC,SEN,SPE,PRE,RECALL,F1 Score,AUC
0_Normal,0.974743,0.978073,0.971543,0.970616,0.978073,0.974330,0.991984
1_LSIL,0.986195,0.909796,0.995763,0.964152,0.909796,0.936186,0.989814
2_HSIL,0.965095,0.823864,0.977850,0.770593,0.823864,0.796339,0.958510
3_CIS,0.980861,0.866029,0.991114,0.896928,0.866029,0.881207,0.981160
4_SCC,0.975527,0.938871,0.984701,0.938871,0.938871,0.938871,0.986488
5_Adeno,0.998667,0.974359,0.999513,0.985849,0.974359,0.980070,0.995291
Macro Average,0.940544,0.915165,0.986747,0.921168,0.915165,0.917834,0.983875
