Class,Samples,Accuracy,Sensitivity (SEN),Specificity (SPE),Precision (PRE),F1-Score,AUC
LSIL,1419,0.9796954314720813,0.9224806201550387,0.9956709956709957,0.9834710743801653,0.9520000000000001,0.9954625744554632
HSIL,2101,0.9475465313028765,0.928605425987625,0.956590909090909,0.9108309990662932,0.9196323356115955,0.9857178399896152
SCC,2552,0.9618520227657283,0.9494514106583072,0.969865788807293,0.9531864673485445,0.9513152728700432,0.9882289353838241
Adeno,429,0.9878480233810183,0.9743589743589743,0.9888010540184453,0.8600823045267489,0.9136612021857923,0.9989596481691343
Macro Average,6501,0.9384710044608522,0.9437241077899863,0.9777321868969108,0.9268927113304379,0.9341522026668578,0.9920922494995092
