Class,ACC,SEN,SPE,PRE,RECALL,F1 Score,AUC
0_Normal,0.973645,0.967830,0.979234,0.978162,0.967830,0.972969,0.991331
1_LSIL,0.988234,0.940099,0.994263,0.953538,0.940099,0.946771,0.992491
2_HSIL,0.964154,0.853220,0.974173,0.748961,0.853220,0.797698,0.947620
3_CIS,0.979292,0.862201,0.989747,0.882468,0.862201,0.872217,0.977633
4_SCC,0.976233,0.935737,0.986369,0.944994,0.935737,0.940343,0.982013
5_Adeno,0.997490,0.948718,0.999188,0.976019,0.948718,0.962175,0.981545
Macro Average,0.939525,0.917967,0.987162,0.914024,0.917967,0.915362,0.978772
