Class,Samples,Accuracy,Sensitivity (SEN),Specificity (SPE),Precision (PRE),F1-Score,AUC
NILM,6248,0.974743117107224,0.9774327784891165,0.9721581295185356,0.9712150127226463,0.9743139757498405,0.9919843662385438
LSIL,1419,0.9861165581614244,0.9083861874559549,0.9958517210944395,0.9648203592814372,0.9357531760435572,0.9898137556935972
HSIL,2101,0.9670562397050749,0.91432651118515,0.9774605559729527,0.8889403054141601,0.9014547160957296,0.981452027602326
SCC,2552,0.9756843674013648,0.9369122257053292,0.985387859174267,0.9413385826771653,0.9391201885310291,0.9864884348860365
Adeno,429,0.9986665620833006,0.9743589743589743,0.999512987012987,0.9858490566037735,0.9800703399765534,0.9952910725637999
Macro Average,12749,0.9511334222291944,0.9422833354389049,0.9860742505546364,0.9504326633398363,0.9461424792793419,0.9890059313968607
