Class,ACC,SEN,SPE,PRE,RECALL,F1 Score,AUC
0_Normal,0.970351,0.969270,0.971389,0.970202,0.969270,0.969736,0.995156
1_LSIL,0.984783,0.912615,0.993822,0.948718,0.912615,0.930316,0.993711
2_HSIL,0.966507,0.849432,0.977080,0.769957,0.849432,0.807744,0.958050
3_CIS,0.980469,0.881340,0.989320,0.880497,0.881340,0.880918,0.987030
4_SCC,0.973096,0.922414,0.985780,0.941977,0.922414,0.932093,0.988096
5_Adeno,0.996784,0.955711,0.998214,0.949074,0.955711,0.952381,0.998042
Macro Average,0.935995,0.915130,0.985934,0.910071,0.915130,0.912198,0.986681
