Class,ACC,SEN,SPE,PRE,RECALL,F1 Score,AUC
0_Normal,0.962899,0.941901,0.983080,0.981651,0.941901,0.961366,0.989634
1_LSIL,0.986117,0.929528,0.993204,0.944842,0.929528,0.937123,0.978477
2_HSIL,0.963762,0.854167,0.973659,0.745455,0.854167,0.796117,0.957851
3_CIS,0.974351,0.823923,0.987782,0.857570,0.823923,0.840410,0.951353
4_SCC,0.970429,0.947492,0.976169,0.908681,0.947492,0.927681,0.979897
5_Adeno,0.995607,0.997669,0.995536,0.886128,0.997669,0.938596,0.999472
Macro Average,0.926582,0.915780,0.984905,0.887388,0.915780,0.900215,0.976114
